rule_id,compound_class,subclass,fragment_mz,ion_mode,fragment_assignment,diagnostic_origin,support_compound_count,support_compound_fraction,support_rank,required,evidence_ids,review_status,review_note
frag_consensus_49895e79da517d,ginsenoside,,475.38,,class consensus fragment (50 compounds),class_consensus_frequency,50,0.2193,1,FALSE,chunk_17559ab5861cab223c30;chunk_8ad156d9a007abd9581f;chunk_b9378f3b91b1ce003c5a;chunk_3be07d61de6906fe57fe;chunk_044d6944c92524203f88;chunk_55c682c5bf0714c6632a;chunk_b54e93f8e0d7cf6f249e;chunk_a24f55f6b2792aaceddb;chunk_61be960aa01deb0e55aa;chunk_d9b30d4e35592644407b;chunk_bda5166aeddf8a6f2dac;chunk_f308d2d12ecb01c1391f;chunk_bb2cfb0cb25e378505b1;chunk_69f5f545bb3aa2db1b49;chunk_150886a374cd8cfa6221;chunk_e6af6154a8342df10401;chunk_1c7a970cb17c7a9c8eb7;chunk_e1b9393f298346e23a6d;chunk_d3acabfeb9313aceb0ea;chunk_422e82f9c16efd5c8866;chunk_3082f555030cfe0b794f;chunk_6b867ae00b2fa55f6add;chunk_673e57ae559fbe27b514;chunk_94adec325330afc3200b;chunk_3619e49b534f9a4ce986;chunk_44e2d880700577e5c718;chunk_f34f6ea452d17a60d2c0;chunk_3fbcfd2a032f66b908a5;chunk_8de719bda7251a09ccf9;chunk_2e830dfc5f37d7d1c143;chunk_84cdcf85468c773b790a;chunk_5d34a0e647f5082c359a;chunk_5c06859173503a5d31bc;chunk_3c270d61fe32c2f68993;chunk_7ecf702e80336967ad61;chunk_f52e40c7f902bbee1eb2;chunk_8369e8fb8c71ac92d255;chunk_d375d8b9cb6fec36283c;chunk_8f31654d252b89aae3ce;chunk_c6a020209a361cdc5926;chunk_3766ed9524e52b387614;chunk_366c1449be21d105cbc0;chunk_147b2c6a8f28383b8529;chunk_0fddf779153759adc5a0;chunk_acc6e934be5d2cae972b;chunk_c598585d5eb2d1b6bf8c;chunk_a7fb24043ee286556c3f;chunk_038ab525f53d5cab987f;chunk_a6578995c2a5580fef2e;chunk_397e7cef57a0f3241565;chunk_4b6e771e1f0214266e3e;chunk_6a3d86d6f67cd2f2aa4b;chunk_9268bf6887017374787a;chunk_be0cb7cae9058ae21c80;chunk_7797f8a88925946fc502;chunk_6083192d0c73e7068d68;chunk_3aa505ba479fab4c714e;chunk_b735a606bf1dfae9657b;chunk_cb889b240e16068dfc1d;chunk_8c36c2ea278b0e3358c5;chunk_e3c3a32d1e5fa120ea41;chunk_dc68dab71a9219329e21;chunk_e58643522a0471869196;chunk_04012333f70ec83edaa9;chunk_cfc2d832baf7e9b4252c;chunk_6e93d7bd9f2e29bfd809;chunk_c01c9c48bb1cb196a66b;chunk_fa9adedb3940c97c89e4;chunk_4855941772d8af97c6d3;chunk_8b34928f129849e0ab8b;chunk_0aaf6521b2e0796b74b6;chunk_265f83386134f521195f;chunk_4c583f5fe61efa25e252;chunk_5818e110871a2b2dc725;chunk_669316048eb87fcd6db2,candidate,Promoted by distinct-compound prevalence within the reported ginsenoside fragment catalog.
frag_consensus_5d10e703a51848,ginsenoside,,783.49,,class consensus fragment (49 compounds),class_consensus_frequency,49,0.2149,2,FALSE,chunk_17559ab5861cab223c30;chunk_8ad156d9a007abd9581f;chunk_044d6944c92524203f88;chunk_55c682c5bf0714c6632a;chunk_d3acabfeb9313aceb0ea;chunk_a77c0045b80ad47a7c39;chunk_51185dc843c11016bf81;chunk_673e57ae559fbe27b514;chunk_612d33e005b5bccef09c;chunk_839826e4934886ac02b2;chunk_94adec325330afc3200b;chunk_1681f0c0734defa78f6a;chunk_fa9adedb3940c97c89e4;chunk_953c5cfe21b731593fac;chunk_3619e49b534f9a4ce986;chunk_ea9fd530eb2896f54986;chunk_422e82f9c16efd5c8866;chunk_a01eba6aabd82aeda459;chunk_2bb3d2b923e2cecf9845;chunk_ca6afe86d43c7d1d4af7;chunk_44e2d880700577e5c718;chunk_1a1f68d9d514cc587b81;chunk_3fbcfd2a032f66b908a5;chunk_1c90a307f50ccf7b2b0f;chunk_9d87269f94909f211bfd;chunk_5781ef44735c54246db5;chunk_654d2a4219b13a49d8a1;chunk_8d91bddac5b66a96dcd3;chunk_5d34a0e647f5082c359a;chunk_5c06859173503a5d31bc;chunk_3c270d61fe32c2f68993;chunk_7ecf702e80336967ad61;chunk_f52e40c7f902bbee1eb2;chunk_8369e8fb8c71ac92d255;chunk_d375d8b9cb6fec36283c;chunk_8f31654d252b89aae3ce;chunk_c6a020209a361cdc5926;chunk_0fddf779153759adc5a0;chunk_b54e93f8e0d7cf6f249e;chunk_2e830dfc5f37d7d1c143;chunk_147b2c6a8f28383b8529;chunk_a7fb24043ee286556c3f;chunk_038ab525f53d5cab987f;chunk_a6578995c2a5580fef2e;chunk_f34f6ea452d17a60d2c0;chunk_7755fcf89cc5ec00d804;chunk_2e2efca6cf1ae48e9c37;chunk_c598585d5eb2d1b6bf8c;chunk_f115ef47a73058ee6e3c;chunk_56a9ba062b7ea0fc54cf;chunk_cfc2d832baf7e9b4252c;chunk_dad06b8d79f7114a89f8;chunk_4a0355c3c5b01ec326e6;chunk_f248b3022abc156c5844;chunk_1beab080004063474009;chunk_8c36c2ea278b0e3358c5;chunk_15d7ff26eae43458c7c5;chunk_45e1bef5f6385ca0a773;chunk_340fdb8bbbcbecfbfdd7;chunk_dc68dab71a9219329e21;chunk_569b443024a151234ae0;chunk_59bd5688360be4415d8b;chunk_54fe0aa1604cdd406fbc;chunk_e0be8e61810f77d9d063;chunk_0ae169c5ece15f04a975;chunk_0d0c40a2b9c64e3ab7e3;chunk_6c6b5beb70bfa6084822;chunk_869cabbc6f1f9facdb98;chunk_847e64c2141283d47d65;chunk_235287b2c1d13dd366cc;chunk_4a268cf9ffa93c991cf3;chunk_a7ee5fc6673d86e31551;chunk_157d55759a9451cc187a;chunk_d79b1c4958161829f791;chunk_b46b2bebf7daaecbdd87;chunk_19b050453eae4b7655b1;chunk_eae46a62c26e6d083a8b,candidate,Promoted by distinct-compound prevalence within the reported ginsenoside fragment catalog.
frag_consensus_3a39f7fa74ec0d,ginsenoside,,621.44,,class consensus fragment (48 compounds),class_consensus_frequency,48,0.2105,3,FALSE,chunk_d3acabfeb9313aceb0ea;chunk_673e57ae559fbe27b514;chunk_612d33e005b5bccef09c;chunk_839826e4934886ac02b2;chunk_b8343765d060f1e91136;chunk_94adec325330afc3200b;chunk_1681f0c0734defa78f6a;chunk_fa9adedb3940c97c89e4;chunk_953c5cfe21b731593fac;chunk_c39236526351f8822d18;chunk_bf7d39577a6b80d6f570;chunk_3619e49b534f9a4ce986;chunk_ea9fd530eb2896f54986;chunk_c8e9107bce1afd08ab84;chunk_422e82f9c16efd5c8866;chunk_a01eba6aabd82aeda459;chunk_6dfc323ebaf268fa58b3;chunk_2bb3d2b923e2cecf9845;chunk_ca6afe86d43c7d1d4af7;chunk_44e2d880700577e5c718;chunk_1a1f68d9d514cc587b81;chunk_3fbcfd2a032f66b908a5;chunk_1c90a307f50ccf7b2b0f;chunk_9d87269f94909f211bfd;chunk_5781ef44735c54246db5;chunk_c45f5da5daa597ecf6ef;chunk_654d2a4219b13a49d8a1;chunk_8d91bddac5b66a96dcd3;chunk_b54e93f8e0d7cf6f249e;chunk_a7fb24043ee286556c3f;chunk_038ab525f53d5cab987f;chunk_a6578995c2a5580fef2e;chunk_f34f6ea452d17a60d2c0;chunk_c6a020209a361cdc5926;chunk_7797f8a88925946fc502;chunk_6083192d0c73e7068d68;chunk_3aa505ba479fab4c714e;chunk_b735a606bf1dfae9657b;chunk_cb889b240e16068dfc1d;chunk_147b2c6a8f28383b8529;chunk_05ad2d7e428bd76fcd58;chunk_847e64c2141283d47d65;chunk_c598585d5eb2d1b6bf8c;chunk_f115ef47a73058ee6e3c;chunk_56a9ba062b7ea0fc54cf;chunk_cfc2d832baf7e9b4252c;chunk_dad06b8d79f7114a89f8;chunk_4a0355c3c5b01ec326e6;chunk_8c36c2ea278b0e3358c5;chunk_15d7ff26eae43458c7c5;chunk_45e1bef5f6385ca0a773;chunk_569b443024a151234ae0;chunk_59bd5688360be4415d8b;chunk_54fe0aa1604cdd406fbc;chunk_e0be8e61810f77d9d063;chunk_db339249ed628d35a396;chunk_01e8795ef4b713ba959e;chunk_3d102bf179455b9fd50b;chunk_5b32a94eb926c444d36b;chunk_70a16d7630be68e72676;chunk_4c583f5fe61efa25e252;chunk_e8f2f5b87807f42e67e2;chunk_d85c65d9fc9f602dfb29;chunk_38222f1ae1a97410ddf6;chunk_f981bac51c99866d661c,candidate,Promoted by distinct-compound prevalence within the reported ginsenoside fragment catalog.
frag_consensus_36c035683f78e5,ginsenoside,,637.43,,class consensus fragment (42 compounds),class_consensus_frequency,42,0.1842,4,FALSE,chunk_8ad156d9a007abd9581f;chunk_b9378f3b91b1ce003c5a;chunk_3be07d61de6906fe57fe;chunk_044d6944c92524203f88;chunk_55c682c5bf0714c6632a;chunk_a24f55f6b2792aaceddb;chunk_61be960aa01deb0e55aa;chunk_d9b30d4e35592644407b;chunk_bda5166aeddf8a6f2dac;chunk_f308d2d12ecb01c1391f;chunk_bb2cfb0cb25e378505b1;chunk_69f5f545bb3aa2db1b49;chunk_150886a374cd8cfa6221;chunk_e6af6154a8342df10401;chunk_1c7a970cb17c7a9c8eb7;chunk_e1b9393f298346e23a6d;chunk_d3acabfeb9313aceb0ea;chunk_422e82f9c16efd5c8866;chunk_3082f555030cfe0b794f;chunk_6b867ae00b2fa55f6add;chunk_673e57ae559fbe27b514;chunk_c3f9bf4aafc2ed711f09;chunk_839826e4934886ac02b2;chunk_b8343765d060f1e91136;chunk_5d34a0e647f5082c359a;chunk_5c06859173503a5d31bc;chunk_3c270d61fe32c2f68993;chunk_7ecf702e80336967ad61;chunk_f52e40c7f902bbee1eb2;chunk_8369e8fb8c71ac92d255;chunk_d375d8b9cb6fec36283c;chunk_8f31654d252b89aae3ce;chunk_c6a020209a361cdc5926;chunk_3ae272b5f4ad5f5588d4;chunk_51982da1a04a240f3299;chunk_3766ed9524e52b387614;chunk_366c1449be21d105cbc0;chunk_147b2c6a8f28383b8529;chunk_0fddf779153759adc5a0;chunk_b54e93f8e0d7cf6f249e;chunk_2e830dfc5f37d7d1c143;chunk_acc6e934be5d2cae972b;chunk_c598585d5eb2d1b6bf8c;chunk_a7fb24043ee286556c3f;chunk_038ab525f53d5cab987f;chunk_a6578995c2a5580fef2e;chunk_f34f6ea452d17a60d2c0;chunk_397e7cef57a0f3241565;chunk_4b6e771e1f0214266e3e;chunk_6a3d86d6f67cd2f2aa4b;chunk_9268bf6887017374787a;chunk_91f00c4cf64b08e38be4;chunk_7755fcf89cc5ec00d804;chunk_84cdcf85468c773b790a;chunk_be0cb7cae9058ae21c80;chunk_7797f8a88925946fc502;chunk_6083192d0c73e7068d68;chunk_3aa505ba479fab4c714e;chunk_b735a606bf1dfae9657b;chunk_cb889b240e16068dfc1d;chunk_f248b3022abc156c5844;chunk_b35c37e06171407910c0;chunk_8c36c2ea278b0e3358c5;chunk_15d7ff26eae43458c7c5;chunk_45e1bef5f6385ca0a773;chunk_e3c3a32d1e5fa120ea41;chunk_dc68dab71a9219329e21;chunk_e58643522a0471869196;chunk_0d0c40a2b9c64e3ab7e3;chunk_6cf12e073d46c4b4ab97;chunk_56a9ba062b7ea0fc54cf;chunk_fe33fcd52b9017737295;chunk_398a7c57dccd51662eb7;chunk_6eb7074d5772afcb1569;chunk_0aaf6521b2e0796b74b6;chunk_6256631e221a99645f77;chunk_f8747a72ff545213d214;chunk_fe0f583fadb1df4f61b2;chunk_b46b2bebf7daaecbdd87,candidate,Promoted by distinct-compound prevalence within the reported ginsenoside fragment catalog.
frag_consensus_3b60028500d715,ginsenoside,,459.39,,class consensus fragment (37 compounds),class_consensus_frequency,37,0.1623,5,FALSE,chunk_d3acabfeb9313aceb0ea;chunk_a77c0045b80ad47a7c39;chunk_51185dc843c11016bf81;chunk_3082f555030cfe0b794f;chunk_612d33e005b5bccef09c;chunk_6b867ae00b2fa55f6add;chunk_c3f9bf4aafc2ed711f09;chunk_839826e4934886ac02b2;chunk_b8343765d060f1e91136;chunk_94adec325330afc3200b;chunk_1681f0c0734defa78f6a;chunk_fa9adedb3940c97c89e4;chunk_953c5cfe21b731593fac;chunk_c39236526351f8822d18;chunk_bf7d39577a6b80d6f570;chunk_3619e49b534f9a4ce986;chunk_ea9fd530eb2896f54986;chunk_c8e9107bce1afd08ab84;chunk_422e82f9c16efd5c8866;chunk_a01eba6aabd82aeda459;chunk_2bb3d2b923e2cecf9845;chunk_ca6afe86d43c7d1d4af7;chunk_44e2d880700577e5c718;chunk_1a1f68d9d514cc587b81;chunk_3fbcfd2a032f66b908a5;chunk_1c90a307f50ccf7b2b0f;chunk_9d87269f94909f211bfd;chunk_654d2a4219b13a49d8a1;chunk_8d91bddac5b66a96dcd3;chunk_e3b41bd0cd110c5382cf;chunk_147b2c6a8f28383b8529;chunk_05ad2d7e428bd76fcd58;chunk_847e64c2141283d47d65;chunk_1beab080004063474009;chunk_8c36c2ea278b0e3358c5;chunk_15d7ff26eae43458c7c5;chunk_45e1bef5f6385ca0a773;chunk_12d1a11942713862ae06;chunk_3ec41a792319248b1652;chunk_569b443024a151234ae0;chunk_59bd5688360be4415d8b;chunk_54fe0aa1604cdd406fbc;chunk_e0be8e61810f77d9d063;chunk_e3c3a32d1e5fa120ea41;chunk_0d0c40a2b9c64e3ab7e3;chunk_6cf12e073d46c4b4ab97;chunk_f115ef47a73058ee6e3c;chunk_442517700b2afbc873f9;chunk_2cb662e303c135aead81;chunk_f981bac51c99866d661c,candidate,Promoted by distinct-compound prevalence within the reported ginsenoside fragment catalog.
frag_consensus_c3917116e92ec5,ginsenoside,,945.55,,class consensus fragment (35 compounds),class_consensus_frequency,35,0.1535,6,FALSE,chunk_d3acabfeb9313aceb0ea;chunk_a77c0045b80ad47a7c39;chunk_51185dc843c11016bf81;chunk_3082f555030cfe0b794f;chunk_673e57ae559fbe27b514;chunk_612d33e005b5bccef09c;chunk_839826e4934886ac02b2;chunk_b8343765d060f1e91136;chunk_94adec325330afc3200b;chunk_fa9adedb3940c97c89e4;chunk_953c5cfe21b731593fac;chunk_1681f0c0734defa78f6a;chunk_c39236526351f8822d18;chunk_bf7d39577a6b80d6f570;chunk_3619e49b534f9a4ce986;chunk_ea9fd530eb2896f54986;chunk_c8e9107bce1afd08ab84;chunk_422e82f9c16efd5c8866;chunk_a01eba6aabd82aeda459;chunk_6dfc323ebaf268fa58b3;chunk_44e2d880700577e5c718;chunk_1a1f68d9d514cc587b81;chunk_3fbcfd2a032f66b908a5;chunk_1c90a307f50ccf7b2b0f;chunk_9d87269f94909f211bfd;chunk_5781ef44735c54246db5;chunk_8de719bda7251a09ccf9;chunk_76a7adc4c6b2879a2f7d;chunk_5d34a0e647f5082c359a;chunk_5c06859173503a5d31bc;chunk_3c270d61fe32c2f68993;chunk_7ecf702e80336967ad61;chunk_f52e40c7f902bbee1eb2;chunk_8369e8fb8c71ac92d255;chunk_d375d8b9cb6fec36283c;chunk_8f31654d252b89aae3ce;chunk_c6a020209a361cdc5926;chunk_a7fb24043ee286556c3f;chunk_07158b980709b4d03d0d;chunk_b059d669579984e37eaa;chunk_847e64c2141283d47d65;chunk_7797f8a88925946fc502;chunk_6083192d0c73e7068d68;chunk_3aa505ba479fab4c714e;chunk_b735a606bf1dfae9657b;chunk_cb889b240e16068dfc1d;chunk_038ab525f53d5cab987f;chunk_f248b3022abc156c5844;chunk_b35c37e06171407910c0;chunk_8c36c2ea278b0e3358c5;chunk_15d7ff26eae43458c7c5;chunk_45e1bef5f6385ca0a773;chunk_56a9ba062b7ea0fc54cf;chunk_5c77ad7ce0664b15b070;chunk_54fe0aa1604cdd406fbc;chunk_78f14995cf874219e7db;chunk_4a0355c3c5b01ec326e6;chunk_235287b2c1d13dd366cc;chunk_4c583f5fe61efa25e252;chunk_e8f2f5b87807f42e67e2;chunk_d85c65d9fc9f602dfb29;chunk_dc06fe75ad279c2a1fca,candidate,Promoted by distinct-compound prevalence within the reported ginsenoside fragment catalog.
frag_consensus_100965b593bc1e,ginsenoside,,459.38,,class consensus fragment (32 compounds),class_consensus_frequency,32,0.1404,7,FALSE,chunk_3082f555030cfe0b794f;chunk_51185dc843c11016bf81;chunk_673e57ae559fbe27b514;chunk_612d33e005b5bccef09c;chunk_839826e4934886ac02b2;chunk_94adec325330afc3200b;chunk_1681f0c0734defa78f6a;chunk_3619e49b534f9a4ce986;chunk_ea9fd530eb2896f54986;chunk_422e82f9c16efd5c8866;chunk_a01eba6aabd82aeda459;chunk_6dfc323ebaf268fa58b3;chunk_44e2d880700577e5c718;chunk_5781ef44735c54246db5;chunk_c45f5da5daa597ecf6ef;chunk_654d2a4219b13a49d8a1;chunk_1c90a307f50ccf7b2b0f;chunk_8d91bddac5b66a96dcd3;chunk_147b2c6a8f28383b8529;chunk_bf7d39577a6b80d6f570;chunk_05ad2d7e428bd76fcd58;chunk_847e64c2141283d47d65;chunk_038ab525f53d5cab987f;chunk_8f31654d252b89aae3ce;chunk_f248b3022abc156c5844;chunk_8c36c2ea278b0e3358c5;chunk_15d7ff26eae43458c7c5;chunk_45e1bef5f6385ca0a773;chunk_e3c3a32d1e5fa120ea41;chunk_0d0c40a2b9c64e3ab7e3;chunk_6cf12e073d46c4b4ab97;chunk_db339249ed628d35a396;chunk_54fe0aa1604cdd406fbc;chunk_78f14995cf874219e7db;chunk_e5ec2785364561e70361;chunk_5b32a94eb926c444d36b;chunk_70a16d7630be68e72676;chunk_b2a5141a28aaf5c0ba8b;chunk_869cabbc6f1f9facdb98;chunk_9ec71f9c9215d1505c8f;chunk_faf9b1ecb71f26beda53;chunk_38222f1ae1a97410ddf6,candidate,Promoted by distinct-compound prevalence within the reported ginsenoside fragment catalog.
frag_consensus_0e245b8408ee48,ginsenoside,,637.44,,class consensus fragment (30 compounds),class_consensus_frequency,30,0.1316,8,FALSE,chunk_17559ab5861cab223c30;chunk_8ad156d9a007abd9581f;chunk_044d6944c92524203f88;chunk_55c682c5bf0714c6632a;chunk_b54e93f8e0d7cf6f249e;chunk_a24f55f6b2792aaceddb;chunk_61be960aa01deb0e55aa;chunk_d9b30d4e35592644407b;chunk_bda5166aeddf8a6f2dac;chunk_f308d2d12ecb01c1391f;chunk_bb2cfb0cb25e378505b1;chunk_150886a374cd8cfa6221;chunk_e1b9393f298346e23a6d;chunk_d3acabfeb9313aceb0ea;chunk_69f5f545bb3aa2db1b49;chunk_422e82f9c16efd5c8866;chunk_94adec325330afc3200b;chunk_3fbcfd2a032f66b908a5;chunk_8de719bda7251a09ccf9;chunk_2e830dfc5f37d7d1c143;chunk_84cdcf85468c773b790a;chunk_5d34a0e647f5082c359a;chunk_5c06859173503a5d31bc;chunk_3c270d61fe32c2f68993;chunk_7ecf702e80336967ad61;chunk_f52e40c7f902bbee1eb2;chunk_8369e8fb8c71ac92d255;chunk_d375d8b9cb6fec36283c;chunk_8f31654d252b89aae3ce;chunk_c6a020209a361cdc5926;chunk_3766ed9524e52b387614;chunk_366c1449be21d105cbc0;chunk_147b2c6a8f28383b8529;chunk_76a7adc4c6b2879a2f7d;chunk_252c975d53a9fe54f19a;chunk_ce301891eaa5f1eecc48;chunk_3aa505ba479fab4c714e;chunk_be0cb7cae9058ae21c80;chunk_7797f8a88925946fc502;chunk_6083192d0c73e7068d68;chunk_b735a606bf1dfae9657b;chunk_cb889b240e16068dfc1d;chunk_bf7d39577a6b80d6f570;chunk_05ad2d7e428bd76fcd58;chunk_847e64c2141283d47d65;chunk_1beab080004063474009;chunk_7a53d7d98d6b4164a360;chunk_e5ec2785364561e70361;chunk_04012333f70ec83edaa9;chunk_cfc2d832baf7e9b4252c;chunk_83a362b656dadd9185b1;chunk_0aaf6521b2e0796b74b6;chunk_dff9279b10f9d384c224;chunk_f8747a72ff545213d214;chunk_265f83386134f521195f;chunk_4c583f5fe61efa25e252;chunk_5818e110871a2b2dc725;chunk_c76c2bb4134929e157fa,candidate,Promoted by distinct-compound prevalence within the reported ginsenoside fragment catalog.
frag_consensus_5a363e327158ee,ginsenoside,,799.49,,class consensus fragment (26 compounds),class_consensus_frequency,26,0.114,9,FALSE,chunk_17559ab5861cab223c30;chunk_b9378f3b91b1ce003c5a;chunk_3be07d61de6906fe57fe;chunk_a24f55f6b2792aaceddb;chunk_61be960aa01deb0e55aa;chunk_d9b30d4e35592644407b;chunk_bda5166aeddf8a6f2dac;chunk_f308d2d12ecb01c1391f;chunk_bb2cfb0cb25e378505b1;chunk_69f5f545bb3aa2db1b49;chunk_150886a374cd8cfa6221;chunk_e6af6154a8342df10401;chunk_1c7a970cb17c7a9c8eb7;chunk_e1b9393f298346e23a6d;chunk_d3acabfeb9313aceb0ea;chunk_422e82f9c16efd5c8866;chunk_3082f555030cfe0b794f;chunk_6b867ae00b2fa55f6add;chunk_51185dc843c11016bf81;chunk_5c77ad7ce0664b15b070;chunk_f20a11e76fa7e52ad755;chunk_3766ed9524e52b387614;chunk_366c1449be21d105cbc0;chunk_acc6e934be5d2cae972b;chunk_87688eaf9dbad6145ade;chunk_7ecf702e80336967ad61;chunk_6a3d86d6f67cd2f2aa4b;chunk_5d34a0e647f5082c359a;chunk_5c06859173503a5d31bc;chunk_3c270d61fe32c2f68993;chunk_f52e40c7f902bbee1eb2;chunk_8369e8fb8c71ac92d255;chunk_d375d8b9cb6fec36283c;chunk_8f31654d252b89aae3ce;chunk_c6a020209a361cdc5926;chunk_147b2c6a8f28383b8529;chunk_0fddf779153759adc5a0;chunk_b54e93f8e0d7cf6f249e;chunk_2e830dfc5f37d7d1c143;chunk_c598585d5eb2d1b6bf8c;chunk_a7fb24043ee286556c3f;chunk_038ab525f53d5cab987f;chunk_a6578995c2a5580fef2e;chunk_f34f6ea452d17a60d2c0;chunk_91f00c4cf64b08e38be4;chunk_7755fcf89cc5ec00d804;chunk_84cdcf85468c773b790a;chunk_4b6e771e1f0214266e3e;chunk_252c975d53a9fe54f19a;chunk_ce301891eaa5f1eecc48;chunk_3aa505ba479fab4c714e;chunk_b735a606bf1dfae9657b;chunk_e3c3a32d1e5fa120ea41;chunk_dc68dab71a9219329e21;chunk_e58643522a0471869196;chunk_f115ef47a73058ee6e3c;chunk_6eb7074d5772afcb1569;chunk_31e2910ccf78f5d9fb9c;chunk_c3b3ed70165e2f5c6e14;chunk_fe0f583fadb1df4f61b2;chunk_b46b2bebf7daaecbdd87,candidate,Promoted by distinct-compound prevalence within the reported ginsenoside fragment catalog.
frag_consensus_bd8a07cec68ee1,ginsenoside,,783.5,,class consensus fragment (23 compounds),class_consensus_frequency,23,0.1009,10,FALSE,chunk_044d6944c92524203f88;chunk_b54e93f8e0d7cf6f249e;chunk_3082f555030cfe0b794f;chunk_51185dc843c11016bf81;chunk_5c77ad7ce0664b15b070;chunk_839826e4934886ac02b2;chunk_b8343765d060f1e91136;chunk_94adec325330afc3200b;chunk_1681f0c0734defa78f6a;chunk_fa9adedb3940c97c89e4;chunk_c39236526351f8822d18;chunk_bf7d39577a6b80d6f570;chunk_c8e9107bce1afd08ab84;chunk_6dfc323ebaf268fa58b3;chunk_44e2d880700577e5c718;chunk_3fbcfd2a032f66b908a5;chunk_1c90a307f50ccf7b2b0f;chunk_9d87269f94909f211bfd;chunk_c45f5da5daa597ecf6ef;chunk_5d34a0e647f5082c359a;chunk_5c06859173503a5d31bc;chunk_3c270d61fe32c2f68993;chunk_7ecf702e80336967ad61;chunk_f52e40c7f902bbee1eb2;chunk_8369e8fb8c71ac92d255;chunk_d375d8b9cb6fec36283c;chunk_8f31654d252b89aae3ce;chunk_c6a020209a361cdc5926;chunk_038ab525f53d5cab987f;chunk_f248b3022abc156c5844;chunk_8c36c2ea278b0e3358c5;chunk_15d7ff26eae43458c7c5;chunk_45e1bef5f6385ca0a773;chunk_569b443024a151234ae0;chunk_59bd5688360be4415d8b;chunk_54fe0aa1604cdd406fbc;chunk_e0be8e61810f77d9d063;chunk_f115ef47a73058ee6e3c;chunk_0ae169c5ece15f04a975;chunk_0d0c40a2b9c64e3ab7e3;chunk_4a268cf9ffa93c991cf3;chunk_a7ee5fc6673d86e31551;chunk_157d55759a9451cc187a;chunk_d79b1c4958161829f791;chunk_b46b2bebf7daaecbdd87;chunk_d85c65d9fc9f602dfb29,candidate,Promoted by distinct-compound prevalence within the reported ginsenoside fragment catalog.
