rule_id,entity_id,entity_origin,target_origin,compound_name,synonyms,compound_class,subclass,formula,exact_mass,ion_mode,adduct,reported_precursor_mz,reported_fragments,reported_neutral_losses,literature_status,derivation_id,evidence_ids,review_status,review_note
cmp_496674d5f8dd7a,entity_496674d5f8dd7a78,reported,reported,ginsenoside Rb1,,ginsenoside,,C54H92O23,1108.60293921527,negative,[M-H]-,1107.5951,945.5349;783.489;621.4276;459.386;945.546,,reported,,claim1;chunk_30e06e0f9816b43a3f02;chunk_7aabccc130b0b1b8a1af;claim_struct_0bdb58f407a8aa2f;chunk_a1805dae0ab969b92d9b;chunk_b30b2c401321bfd9dbf3;claim_struct_45e124a9b3d1c296,candidate,Listed as a ginsenoside reference standard.
cmp_51ddcb86ca8d98,entity_51ddcb86ca8d9896,reported,reported,ginsenoside Rb3,,ginsenoside,,C53H90O22,1078.59237453124,negative,[M-H]-,1077.5845,945.5438;783.4917;621.4368;459.3821,,reported,,claim2;chunk_3457e09aed7a592916c8;chunk_7aabccc130b0b1b8a1af;claim_struct_2d871615bc5c6d48;chunk_3b867ed59739d5a22268,candidate,Listed as a ginsenoside reference standard.
cmp_23d34ff9f882b2,entity_23d34ff9f882b214,reported,reported,ginsenoside Re,,ginsenoside,,C48H82O18,946.5501157951201,negative,[M-H]-,945.5423,783.4882;637.4333;475.3796,,reported,,claim3;chunk_57487e24909998dbdf61;chunk_1c1e6578ab8c9a02d5a4;claim_struct_32a33e448a037b16;chunk_e5369181e2b751ff7b26,candidate,Listed as a ginsenoside reference standard.
cmp_aa500cbc70ff65,entity_aa500cbc70ff655a,reported,reported,ginsenoside Rf,,ginsenoside,,C42H72O14,800.49220699454,negative,[M-H]-,799.4844,637.4323;637.431;475.3797;637.4327,,reported,,claim4;chunk_15955d34e68303239283;chunk_47266bdb6ef5437ff4bd;claim_struct_eca2e4a97c75c9c3;chunk_54af3f448b1464d459b9;chunk_9331c6d9d26aff836f3d;claim_struct_916ad436f2195f9f;chunk_fb5c063d29eaae070dfd;claim_struct_a0347369d09f2e1d,candidate,Listed as a ginsenoside reference standard.
cmp_d96110b1470152,entity_d96110b1470152a6,reported,reported,ginsenoside Rg1,,ginsenoside,,C42H72O14,800.49220699454,negative,[M-H]-,799.4844,637.432;475.3784,,reported,,claim5;chunk_57487e24909998dbdf61;chunk_15955d34e68303239283;claim_struct_b7d8e70998ec0296;chunk_e5369181e2b751ff7b26,candidate,Listed as a ginsenoside reference standard.
cmp_52946a3c681989,entity_52946a3c681989c1,reported,reported,ginsenoside Rg2,,ginsenoside,,C42H72O13,784.49729237497,negative,[M-H]-,783.4895,,,reported,,claim6;chunk_15955d34e68303239283,candidate,Listed as a ginsenoside reference standard.
cmp_4f479e39bcd0c3,entity_4f479e39bcd0c325,reported,reported,ginsenoside Rg3,,ginsenoside,,C42H72O13,784.49729237497,negative,[M-H]-,783.4895,,,reported,,claim7;chunk_25b4d865a62ac2384a4b,candidate,Listed as a ginsenoside reference standard.
cmp_c5e1647c70d865,entity_c5e1647c70d865e9,reported,reported,ginsenoside Rh2,,ginsenoside,,C36H62O8,622.44446895482,negative,[M-H]-,621.4366,,,reported,,claim8;chunk_25b4d865a62ac2384a4b,candidate,Listed as a ginsenoside reference standard.
cmp_3444d71e6edab1,entity_3444d71e6edab1e3,reported,reported,ginsenoside Ro,,ginsenoside,,C48H76O19,956.4980802213099,negative,[M-H]-,955.4903,793.4385;731.4386;793.4358,,reported,,claim9;chunk_9b3d5d32a9431999ab32;chunk_1281439c3ddd505382ae;claim_struct_df01408d2509ab05;chunk_93de4ccbcc916020fe93;chunk_52d793746aa180be918e;chunk_3fefbadade88466595c7;claim_struct_aaee88b6a55b7855,candidate,Listed as a ginsenoside reference standard.
cmp_c9c6dd608f5a9c,entity_c9c6dd608f5a9c54,reported,reported,pseudoginsenoside F11,,ginsenoside,,C42H72O14,800.49220699454,,,,,,reported,,claim14;chunk_30e06e0f9816b43a3f02,candidate,Listed as a ginsenoside reference standard.
cmp_18fddb4243da3a,entity_18fddb4243da3a3b,reported,reported,Neoalsoside A5,,ginsenoside,,C48H82O19,962.54503041469,,,,,,reported,,claim15;chunk_4f23ff132ba81fd49826,candidate,Listed in supplementary table of identified saponins in American ginseng.
cmp_1c128e71fedcf0,entity_1c128e71fedcf015,reported,reported,Notoginsenoside R1,,ginsenoside,,C47H80O18,932.53446573066,negative,[M-H]-,931.5266,637.4346;799.4841;637.4324;475.3802;637.4318;637.4303,,reported,,claim16;chunk_4f23ff132ba81fd49826;chunk_15955d34e68303239283;claim_struct_d70ae20fee5b4fb6;chunk_331449f50dc7e60d69f2;chunk_510e8f3a309912930d90;claim_struct_62c3f621adc91f44;chunk_75cc07695c4c90b4e366;claim_struct_8bb1d1b6b215da62;chunk_71a02ea07eb25f34f97d;claim_struct_5cdfb5fdbe51b532,candidate,Listed in supplementary table of identified saponins in American ginseng.
cmp_ae9eeb19e1ada2,entity_ae9eeb19e1ada2ad,reported,reported,Panaxsaponin 1/isomer,,ginsenoside,,C42H74O14,802.507857059,,,,,,reported,,claim17;chunk_4f23ff132ba81fd49826;chunk_57487e24909998dbdf61,candidate,Listed in supplementary table of identified saponins in American ginseng.
cmp_62f99015cd757b,entity_62f99015cd757b11,reported,reported,Unknown,,ginsenoside,,C47H80O17,916.5395511110901,negative,[M-H]-,1093.578,931.4853;799.4458;637.3989;475.3864;753.3889;607.3483;475.3828;783.3997;637.3578;475.3841;1093.5809;961.5366;799.4886;637.4315;475.3769;1107.6011;945.5471;783.4977;621.7923;459.384;1107.5975;945.5425;783.4955;621.4245;459.3877;783.4292;621.3864;459.35,,reported,,chunk_389e608da85aea4a6d6c;chunk_9f98fa7e698f13a9a924;chunk_5c192fc471eea053c357;claim_struct_9e50d3606626e009;chunk_aecb53d48c9704658bfe;chunk_168551a92eac5e480fc1;claim_struct_69bc37cc01f1a19b;chunk_95caef31f73630e25b00;chunk_4152b790a69fd3c2b135;chunk_17559ab5861cab223c30;chunk_d9b30d4e35592644407b;chunk_150886a374cd8cfa6221;chunk_1c7a970cb17c7a9c8eb7;chunk_3082f555030cfe0b794f;chunk_51185dc843c11016bf81;chunk_61004029bc1f218b90c1,candidate,Structured compound record mined from local corpus text.
cmp_6c49b2d9ef82cc,entity_6c49b2d9ef82cc1f,reported,reported,G-Re,,ginsenoside,,C48H82O18,946.5501157951201,negative,[M-H]-,961.5349,783.4948;637.4369;475.3833;637.4339,,reported,,chunk_389e608da85aea4a6d6c;chunk_3b91964417dcb563705d;claim_struct_f497cfe88704b4ea;claim_struct_49232604256c7ca2;chunk_fa081a374b4dbd0dc8ab;chunk_11d1c2fdc2b5580b2231;chunk_044d6944c92524203f88;chunk_55c682c5bf0714c6632a,candidate,Structured compound record mined from local corpus text.
cmp_b8df7f0d03fb85,entity_b8df7f0d03fb859c,reported,reported,Floral G-M/Floral G-N,,ginsenoside,,C53H90O22,1078.59237453124,negative,[M-H]-,1077.5885,,,reported,,chunk_389e608da85aea4a6d6c;claim_struct_77b7ad9eefa41e2d,candidate,Structured compound record mined from local corpus text.
cmp_1e9c9158b2d9f9,entity_1e9c9158b2d9f931,reported,reported,20-glc-G-Rf,,ginsenoside,,C48H82O19,962.54503041469,negative,[M-H]-,961.5352,799.4807;637.4284;475.3769,,reported,,chunk_389e608da85aea4a6d6c;chunk_8ad156d9a007abd9581f,candidate,Structured compound record mined from local corpus text.
cmp_d2a595b2ad04ee,entity_d2a595b2ad04eedc,reported,reported,NG-R1 isomer,,ginsenoside,,C47H80O18,932.53446573066,negative,[M-H]-,931.5261,799.4849;637.434;475.3805;799.3725;637.3556;475.3824,,reported,,chunk_3b91964417dcb563705d;claim_struct_d91e29a036be8694;chunk_b9378f3b91b1ce003c5a;chunk_3be07d61de6906fe57fe,candidate,Structured compound record mined from local corpus text.
cmp_aec6be1a61e6aa,entity_aec6be1a61e6aa29,reported,reported,NG-R,,ginsenoside,,C47H80O18,932.53446573066,negative,[M-H]-,931.5234,,,reported,,chunk_3b91964417dcb563705d;chunk_aecb53d48c9704658bfe;chunk_775d46993d8b1bb593dc,candidate,Structured compound record mined from local corpus text.
cmp_c5da651b4bb13a,entity_c5da651b4bb13a51,reported,reported,KG-R2/isomer,,ginsenoside,,C54H92O24,1124.59785383484,negative,[M-H]-,1123.5913,961.4226;799.3903;637.3564;961.5389;799.484;637.4342;475.3835;961.5427;799.4863;637.3808;961.5245;799.4741;637.423;475.376;961.5413;799.4893;637.4335;475.3794;961.5421;799.4902;637.4317;475.3808;961.5423;799.4891;637.433;475.3754;961.4101;799.4889;637.4377;475.3875,,reported,,chunk_3b91964417dcb563705d;chunk_fa081a374b4dbd0dc8ab;claim_struct_9822ab70121c646f;chunk_9f98fa7e698f13a9a924;claim_struct_f73314b963f68456;claim_struct_9156e36d377f611f;chunk_5c192fc471eea053c357;claim_struct_5a2bac4c7ccd6ded;claim_struct_c4a9cf70bead6547;chunk_07be9476c2449cf6c276;claim_struct_f59e251114ba5ef3;chunk_3be07d61de6906fe57fe;chunk_a24f55f6b2792aaceddb;chunk_61be960aa01deb0e55aa;chunk_d9b30d4e35592644407b;chunk_bda5166aeddf8a6f2dac;chunk_f308d2d12ecb01c1391f;chunk_bb2cfb0cb25e378505b1,candidate,Structured compound record mined from local corpus text.
cmp_a6832f070a7390,entity_a6832f070a739024,reported,reported,NG-N,,ginsenoside,,C48H82O19,962.54503041469,negative,[M-H]-,961.5359,,,reported,,chunk_3b91964417dcb563705d,candidate,Structured compound record mined from local corpus text.
cmp_68205329e0f5db,entity_68205329e0f5db57,reported,reported,G-Rg,,ginsenoside,,C42H72O13,784.49729237497,negative,[M-H]-,799.4876,,,reported,,chunk_fa081a374b4dbd0dc8ab;chunk_2434ce436795cb7fc49d;chunk_1655078aa05b269cc22a,candidate,Structured compound record mined from local corpus text.
cmp_469fa160f782f0,entity_469fa160f782f0ee,reported,reported,G-Re isomer,,ginsenoside,,C48H82O18,946.5501157951201,negative,[M-H]-,945.5436,783.4956;637.4359;475.3822;475.3807;841.4975,,reported,,chunk_fa081a374b4dbd0dc8ab;chunk_044d6944c92524203f88;chunk_b54e93f8e0d7cf6f249e,candidate,Structured compound record mined from local corpus text.
cmp_38a56da2090020,entity_38a56da2090020b5,reported,reported,Acetyl G-Re/isomer,,ginsenoside,,C50H84O19,988.5606804791499,negative,[M-H]-,987.5534,945.4361;783.4023;637.3605;475.3854;945.5443;799.4865;637.4343;475.3786;945.5438;783.4735;637.4245;475.375,,reported,,chunk_fa081a374b4dbd0dc8ab;chunk_dfd53ed65fa116719d00;claim_struct_f5c65f97026278c9;chunk_07be9476c2449cf6c276;claim_struct_3ed6442a16e237da;chunk_a24f55f6b2792aaceddb;chunk_69f5f545bb3aa2db1b49;chunk_bb2cfb0cb25e378505b1,candidate,Structured compound record mined from local corpus text.
cmp_1fcd0c7170e41f,entity_1fcd0c7170e41fc9,reported,reported,Acetyl G-Rg1/isomer,,ginsenoside,,C44H74O15,842.50277167857,negative,[M-H]-,841.4936,,,reported,,chunk_fa081a374b4dbd0dc8ab;chunk_9f98fa7e698f13a9a924;claim_struct_d6c2e68b0f59ba70,candidate,Structured compound record mined from local corpus text.
cmp_b2bbc27c74392b,entity_b2bbc27c74392bad,reported,reported,G-Ia,,ginsenoside,,C42H72O14,800.49220699454,negative,[M-H]-,799.4853,637.422;475.3833,,reported,,chunk_9f98fa7e698f13a9a924;chunk_61be960aa01deb0e55aa,candidate,Structured compound record mined from local corpus text.
cmp_fed7f868c108db,entity_fed7f868c108db57,reported,reported,Floral G-P/isomer,,ginsenoside,,C53H90O23,1094.58728915081,negative,[M-H]-,1093.5815,,,reported,,chunk_9f98fa7e698f13a9a924;chunk_5c192fc471eea053c357;claim_struct_24ff90a689cdabd8;chunk_dfd53ed65fa116719d00;claim_struct_0f7c8b5824beb200,candidate,Structured compound record mined from local corpus text.
cmp_b76c3d1958a1ba,entity_b76c3d1958a1baa0,reported,reported,Acetyl Re/isomer,,ginsenoside,,C50H84O19,988.5606804791499,negative,[M-H]-,987.5498,,,reported,,chunk_9f98fa7e698f13a9a924,candidate,Structured compound record mined from local corpus text.
cmp_179c39cdcfd1e3,entity_179c39cdcfd1e3d6,reported,reported,Floral G-P isomer,,ginsenoside,,C53H90O23,1094.58728915081,negative,[M-H]-,1093.5815,961.5343;961.5358;799.4852;637.4332;475.3812,,reported,,chunk_9f98fa7e698f13a9a924;chunk_5c192fc471eea053c357;claim_struct_b68028f71864c3a0;chunk_e6af6154a8342df10401;chunk_1c7a970cb17c7a9c8eb7,candidate,Structured compound record mined from local corpus text.
cmp_d44892754b6ccf,entity_d44892754b6ccf79,reported,reported,G-Re1/G-Re2/G-Re3/NG-N isomer,,ginsenoside,,C48H82O19,962.54503041469,negative,[M-H]-,961.5356,,,reported,,chunk_5c192fc471eea053c357;chunk_dfd53ed65fa116719d00;claim_struct_3922e646b9bea3e3;chunk_07be9476c2449cf6c276;claim_struct_eb522a9c37203b05;claim_struct_cac97ff47aec6a3c;claim_struct_2ff4367b8c320686,candidate,Structured compound record mined from local corpus text.
cmp_7e7a76a0d1d21d,entity_7e7a76a0d1d21d49,reported,reported,G-F3/G-F,,ginsenoside,,C41H70O13,770.48164231051,negative,[M-H]-,769.4721,,,reported,,chunk_dfd53ed65fa116719d00;claim_struct_fbb31253f8035baf,candidate,Structured compound record mined from local corpus text.
cmp_56252a7989933a,entity_56252a7989933a00,reported,reported,Yesanchinoside D isomer,,ginsenoside,,C44H74O15,842.50277167857,negative,[M-H]-,841.4944,,,reported,,chunk_dfd53ed65fa116719d00;chunk_7e823cba6e7b94c6effa,candidate,Structured compound record mined from local corpus text.
cmp_f523da66160368,entity_f523da66160368db,reported,reported,Malonyl KG-R,,ginsenoside,,C57H94O27,1210.59824775801,negative,[M-H]-,1209.5939,,,reported,,chunk_dfd53ed65fa116719d00,candidate,Structured compound record mined from local corpus text.
cmp_30007aebe52b5a,entity_30007aebe52b5a0a,reported,reported,Yesanchinoside D,,ginsenoside,,C44H74O15,842.50277167857,negative,[M-H]-,841.4968,799.4879;637.4313;475.3795;799.4871,,reported,,chunk_07be9476c2449cf6c276;chunk_15955d34e68303239283;claim_struct_e615ea646c485645;chunk_84b2d1e6449a96ff9bbe;chunk_d95386c7dce56ddc065c;claim_struct_7d40bd4e7179933b,candidate,Structured compound record mined from local corpus text.
cmp_8ff34c4e7f9d65,entity_8ff34c4e7f9d6524,reported,reported,G-Rb1 isomer,,ginsenoside,,C54H92O23,1108.60293921527,negative,[M-H]-,1107.5922,945.5452;945.5464;783.4894;621.4267;459.3878,,reported,,chunk_aecb53d48c9704658bfe;chunk_168551a92eac5e480fc1;claim_struct_dc9cdddd3140f16f;chunk_a77c0045b80ad47a7c39;chunk_51185dc843c11016bf81,candidate,Structured compound record mined from local corpus text.
cmp_d3b77a138b651a,entity_d3b77a138b651af4,reported,reported,Acetyl panajaponol A,,ginsenoside,,C44H74O15,842.50277167857,negative,[M-H]-,887.49733,,,reported,,chunk_aecb53d48c9704658bfe;chunk_168551a92eac5e480fc1;claim_struct_83700898e4d9e04d,candidate,Structured compound record mined from local corpus text.
